ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,xcoord,ycoord,zcoord
-0.33799,2025/04/20 01:26:28,,,"374",,,,,,,,,,"Flag, Blue",,,,,,,,,73.79755,15.462363,-0.33799
-0.462318,2025/04/20 01:31:58,,,"375",,,,,,,,,,"Flag, Blue",,,,,,,,,73.789852,15.466374,-0.462318
-2.582886,2025/04/20 01:36:00,,,"376",,,,,,,,,,"Flag, Blue",,,,,,,,,73.782085,15.462725,-2.582886
1.336761,2025/04/20 01:40:38,,,"377",,,,,,,,,,"Flag, Blue",,,,,,,,,73.780716,15.454358,1.336761
-0.533936,2025/04/20 01:46:18,,,"378",,,,,,,,,,"Flag, Blue",,,,,,,,,73.779807,15.445214,-0.533936
-1.332672,2025/04/20 01:51:41,,,"379",,,,,,,,,,"Flag, Blue",,,,,,,,,73.774361,15.436993,-1.332672
0.795815,2025/04/20 01:55:48,,,"380",,,,,,,,,,"Flag, Blue",,,,,,,,,73.772078,15.430255,0.795815
0.880096,2025/04/20 02:00:36,,,"381",,,,,,,,,,"Flag, Blue",,,,,,,,,73.770195,15.421673,0.880096
0.250397,2025/04/20 02:06:22,,,"382",,,,,,,,,,"Flag, Blue",,,,,,,,,73.776192,15.41298,0.250397
-0.243858,2025/04/20 02:10:32,,,"383",,,,,,,,,,"Flag, Blue",,,,,,,,,73.781037,15.407015,-0.243858
-1.374382,2025/04/20 02:15:12,,,"384",,,,,,,,,,"Flag, Blue",,,,,,,,,73.779355,15.39953,-1.374382
-0.312401,2025/04/20 02:20:49,,,"385",,,,,,,,,,"Flag, Blue",,,,,,,,,73.784566,15.393475,-0.312401
-0.878792,2025/04/20 02:24:47,,,"386",,,,,,,,,,"Flag, Blue",,,,,,,,,73.790221,15.390874,-0.878792
1.070122,2025/04/20 02:29:40,,,"387",,,,,,,,,,"Flag, Blue",,,,,,,,,73.797644,15.387225,1.070122
-0.445953,2025/04/20 02:32:07,,,"388",,,,,,,,,,"Flag, Blue",,,,,,,,,73.800961,15.384964,-0.445953
0.36544,2025/04/20 02:33:22,,,"389",,,,,,,,,,"Flag, Blue",,,,,,,,,73.80065,15.382734,0.36544
0.045692,2025/04/20 02:37:17,,,"390",,,,,,,,,,"Flag, Blue",,,,,,,,,73.800839,15.37572,0.045692
0.182854,2025/04/20 02:39:16,,,"391",,,,,,,,,,"Flag, Blue",,,,,,,,,73.799876,15.372296,0.182854
0.647972,2025/04/20 02:42:21,,,"392",,,,,,,,,,"Flag, Blue",,,,,,,,,73.799413,15.367415,0.647972
-0.025063,2025/04/20 02:47:33,,,"393",,,,,,,,,,"Flag, Blue",,,,,,,,,73.807985,15.366095,-0.025063
-0.8881,2025/04/20 02:53:51,,,"394",,,,,,,,,,"Flag, Blue",,,,,,,,,73.818865,15.36594,-0.8881
-0.806938,2025/04/20 02:58:14,,,"395",,,,,,,,,,"Flag, Blue",,,,,,,,,73.826288,15.367194,-0.806938
-0.825577,2025/04/20 03:00:59,,,"396",,,,,,,,,,"Flag, Blue",,,,,,,,,73.828919,15.364908,-0.825577
0.588219,2025/04/20 03:03:57,,,"397",,,,,,,,,,"Flag, Blue",,,,,,,,,73.828351,15.360077,0.588219
-0.9636,2025/04/20 03:09:16,,,"398",,,,,,,,,,"Flag, Blue",,,,,,,,,73.837466,15.358837,-0.9636
-1.503845,2025/04/20 03:15:34,,,"399",,,,,,,,,,"Flag, Blue",,,,,,,,,73.848095,15.358218,-1.503845
-0.638573,2025/04/20 03:20:15,,,"400",,,,,,,,,,"Flag, Blue",,,,,,,,,73.855545,15.360704,-0.638573
-0.761604,2025/04/20 03:24:48,,,"401",,,,,,,,,,"Flag, Blue",,,,,,,,,73.863732,15.36368,-0.761604
-1.625671,2025/04/20 03:26:41,,,"402",,,,,,,,,,"Flag, Blue",,,,,,,,,73.867143,15.365006,-1.625671
-1.488426,2025/04/20 03:29:31,,,"403",,,,,,,,,,"Flag, Blue",,,,,,,,,73.86981,15.363406,-1.488426
-1.422882,2025/04/20 03:34:09,,,"404",,,,,,,,,,"Flag, Blue",,,,,,,,,73.866546,15.355046,-1.422882
-1.066856,2025/04/20 03:38:55,,,"405",,,,,,,,,,"Flag, Blue",,,,,,,,,73.869382,15.350343,-1.066856
0.87645,2025/04/20 03:43:35,,,"406",,,,,,,,,,"Flag, Blue",,,,,,,,,73.878624,15.350608,0.87645
