ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,xcoord,ycoord,zcoord
1.023476,2025/04/23 00:55:08,,,"571",,,,,,,,,,"Flag, Blue",,,,,,,,,73.944367,15.143341,1.023476
1.894348,2025/04/23 00:56:40,,,"572",,,,,,,,,,"Flag, Blue",,,,,,,,,73.941378,15.144547,1.894348
1.006409,2025/04/23 01:00:47,,,"573",,,,,,,,,,"Flag, Blue",,,,,,,,,73.933742,15.149484,1.006409
1.059486,2025/04/23 01:04:15,,,"574",,,,,,,,,,"Flag, Blue",,,,,,,,,73.927836,15.153825,1.059486
1.430588,2025/04/23 01:05:00,,,"575",,,,,,,,,,"Flag, Blue",,,,,,,,,73.92896,15.154989,1.430588
1.440407,2025/04/23 01:10:24,,,"576",,,,,,,,,,"Flag, Blue",,,,,,,,,73.935588,15.164576,1.440407
1.471397,2025/04/23 01:15:00,,,"577",,,,,,,,,,"Flag, Blue",,,,,,,,,73.936359,15.172405,1.471397
2.465683,2025/04/23 01:18:37,,,"578",,,,,,,,,,"Flag, Blue",,,,,,,,,73.930027,15.177243,2.465683
1.408882,2025/04/23 01:21:28,,,"579",,,,,,,,,,"Flag, Blue",,,,,,,,,73.924721,15.18042,1.408882
1.15934,2025/04/23 01:25:31,,,"580",,,,,,,,,,"Flag, Blue",,,,,,,,,73.91664,15.184394,1.15934
2.373795,2025/04/23 01:29:43,,,"581",,,,,,,,,,"Flag, Blue",,,,,,,,,73.916388,15.193267,2.373795
0.781075,2025/04/23 01:34:01,,,"582",,,,,,,,,,"Flag, Blue",,,,,,,,,73.916139,15.202553,0.781075
0.589836,2025/04/23 01:39:01,,,"583",,,,,,,,,,"Flag, Blue",,,,,,,,,73.917793,15.213131,0.589836
1.057335,2025/04/23 01:42:16,,,"584",,,,,,,,,,"Flag, Blue",,,,,,,,,73.919508,15.219946,1.057335
-0.923058,2025/04/23 01:46:10,,,"585",,,,,,,,,,"Flag, Blue",,,,,,,,,73.922861,15.227714,-0.923058
1.003044,2025/04/23 01:50:45,,,"586",,,,,,,,,,"Flag, Blue",,,,,,,,,73.916789,15.234839,1.003044
-0.747688,2025/04/23 01:54:52,,,"587",,,,,,,,,,"Flag, Blue",,,,,,,,,73.908951,15.23945,-0.747688
0.259995,2025/04/23 01:57:56,,,"588",,,,,,,,,,"Flag, Blue",,,,,,,,,73.90343,15.242264,0.259995
