"month","year","mean_prob","se"
1,2015,0.774104683195592,0.032310968956731
1,2016,0.731770833333333,0.0332879024702582
1,2017,0.400537634408602,0.0418104153298
1,2018,0.626984126984127,0.0372998986446543
1,2019,0.454068241469816,0.0399052627183449
1,2020,0.707650273224044,0.0356820265091293
1,2021,0.703703703703704,0.03434300243631
1,2022,0.65,0.0352506475738086
1,2023,0.768707482993197,0.0343277449464305
1,2024,0.73202614379085,0.0368755384838391
1,2025,0.826797385620915,0.0327524590493585
2,2015,0.894179894179894,0.0227402458577089
2,2016,0.877675840978593,0.0248302085034932
2,2017,0.83625730994152,0.0279376800211747
2,2018,0.752688172043011,0.0312139800842329
2,2019,0.866666666666667,0.0267739776300833
2,2020,0.846560846560847,0.0269955365442004
2,2021,0.918079096045198,0.0192142227272971
2,2022,0.763440860215054,0.033878356026919
2,2023,0.761904761904762,0.03713819942348
2,2024,0.806666666666667,0.0342237963694109
2,2025,0.892592592592593,0.0282802385081116
3,2015,0.9,0.0210966091032457
3,2016,0.912429378531073,0.0213910795620742
3,2017,0.859078590785908,0.024941808882657
3,2018,0.866666666666667,0.0278243337456101
3,2019,0.869444444444444,0.0240912756663631
3,2020,0.874666666666667,0.0216402651385979
3,2021,0.97,0.0126197963240006
3,2022,0.88515406162465,0.0246634517736442
3,2023,0.800653594771242,0.0338947747370008
3,2024,0.972222222222222,0.011581641562534
3,2025,0.878787878787879,0.0246157606193824
4,2015,0.919642857142857,0.0208180062513739
4,2016,0.946902654867257,0.0148542408192285
4,2017,0.799435028248588,0.0286905881156002
4,2018,0.861581920903955,0.0278901886533207
4,2019,0.929012345679012,0.02011988889042
4,2020,0.825268817204301,0.0313520146932525
4,2021,0.672514619883041,0.037606469037752
4,2022,0.845911949685535,0.029360264360664
4,2023,0.917647058823529,0.0242573364961098
4,2024,0.93574297188755,0.0217269791486128
4,2025,0.885416666666667,0.0291314009857372
5,2015,0.891975308641975,0.0222864698218403
5,2016,0.889937106918239,0.0267062068766494
5,2017,0.660766961651917,0.0395273160052648
5,2018,0.87797619047619,0.0270702037984347
5,2019,0.88135593220339,0.0249019593949684
5,2020,0.55045871559633,0.0446005047182585
5,2021,0.905913978494624,0.0203991995003145
5,2022,0.56,0.0385396504848994
5,2023,0.964285714285714,0.0149560640226786
5,2024,0.972222222222222,0.0128844071315853
5,2025,0.95970695970696,0.01633588297956
6,2015,0.941358024691358,0.0195270724747547
6,2016,0.951515151515152,0.0196514733000091
6,2017,0.936363636363636,0.0163907969692981
6,2018,0.915300546448087,0.0199961893319212
6,2019,0.848238482384824,0.0293708701806589
6,2020,0.800546448087432,0.0346290714757339
6,2021,0.959876543209877,0.0136700253596959
6,2022,0.911949685534591,0.0211016766764991
6,2023,0.802588996763754,0.0345506795830447
6,2024,0.757575757575758,0.0376288739117036
6,2025,0.965116279069767,0.017460849975874
7,2015,0.880503144654088,0.0293650755469906
7,2016,0.87536231884058,0.0251988849915557
7,2017,0.942942942942943,0.0164531083752973
7,2018,0.93859649122807,0.018835397440853
7,2019,0.93859649122807,0.0163865554483923
7,2020,0.902777777777778,0.021021173108333
7,2021,0.827272727272727,0.0340979358278978
7,2022,0.907103825136612,0.0195010297331252
7,2023,0.992063492063492,0.00793650793650794
7,2024,0.945736434108527,0.0205269278923256
7,2025,0.988372093023256,0.0116279069767442
8,2015,0.479166666666667,0.0448995195933861
8,2016,0.959119496855346,0.0139185943047052
8,2017,0.654205607476635,0.0433526205432344
8,2018,0.959119496855346,0.0182616995740353
8,2019,0.922839506172839,0.0221903897488422
8,2020,0.92022792022792,0.0216586254885603
8,2021,0.880758807588076,0.0264186345025461
8,2022,0.840978593272171,0.0266404369936228
8,2023,0.937984496124031,0.020266973192129
8,2024,0.872053872053872,0.0293883027809334
8,2025,0.996078431372549,0.00392156862745098
9,2015,0.919444444444444,0.0201132157102765
9,2016,0.542424242424242,0.0455323215608456
9,2017,0.950413223140496,0.0149794048107643
9,2018,0.615176151761518,0.039438752161831
9,2019,0.850574712643678,0.0309074342463255
9,2020,0.776785714285714,0.0362190396634182
9,2021,0.863387978142076,0.0244631341326282
9,2022,0.713541666666667,0.0350240463499762
9,2023,0.865248226950355,0.0324088802311419
9,2024,0.949820788530466,0.0152432841023999
9,2025,0.934865900383142,0.0170947261196478
10,2015,0.769470404984424,0.036342516717901
10,2016,0.702702702702703,0.0342227375554668
10,2017,0.717948717948718,0.0376590479684382
10,2018,0.685897435897436,0.0414518793260611
10,2019,0.858156028368794,0.0304559026246233
10,2020,0.531746031746032,0.0385227336492432
10,2021,0.684895833333333,0.0383004740752185
10,2022,0.587301587301587,0.0415618485055318
10,2023,0.47037037037037,0.0482440863705671
10,2024,0.568027210884354,0.044631146210251
11,2015,0.542483660130719,0.0435492504223957
11,2016,0.493055555555556,0.0478533249445857
11,2017,0.44336569579288,0.0427467039320315
11,2018,0.555555555555556,0.0441425063760409
11,2019,0.365781710914454,0.0429305983201066
11,2020,0.48377581120944,0.0410545322463595
11,2021,0.532051282051282,0.0449783577644858
11,2022,0.53125,0.0453968114761679
11,2023,0.505154639175258,0.0488785562425238
11,2024,0.595959595959596,0.0434101268585608
12,2015,0.457300275482094,0.0419767582224815
12,2016,0.537216828478964,0.0441690679746046
12,2017,0.385321100917431,0.0437022448730398
12,2018,0.512820512820513,0.0401674911199382
12,2019,0.412698412698413,0.0447767967676458
12,2020,0.625,0.0363484220233345
12,2021,0.345132743362832,0.0427183342519147
12,2022,0.468390804597701,0.0420169579918029
12,2023,0.636666666666667,0.0399480583071822
12,2024,0.773333333333333,0.0357318859951119
