"month","year","mean_prob","se"
1,2015,0.888888888888889,0.0360186415662833
1,2016,0.840796019900497,0.0390591193258871
1,2017,0.740740740740741,0.0508473147705965
1,2018,0.871794871794872,0.0348166041384622
1,2019,0.737373737373737,0.0485560213173614
1,2020,0.863387978142076,0.0360269153080543
1,2021,0.850574712643678,0.0377248485657383
1,2022,0.801075268817204,0.0449975206238347
1,2023,0.82051282051282,0.0488355596586579
1,2024,0.739393939393939,0.0565175360494472
1,2025,0.8,0.0516107912629218
2,2015,0.923076923076923,0.0261173702403376
2,2016,0.970238095238095,0.0175661719750238
2,2017,0.936781609195402,0.0223883133958464
2,2018,0.878306878306878,0.0322679966034616
2,2019,0.90625,0.0319045212914405
2,2020,0.897435897435897,0.0291649055540444
2,2021,0.918032786885246,0.0287945823440632
2,2022,0.873015873015873,0.038776130456027
2,2023,0.813333333333333,0.0523029722580799
2,2024,0.826923076923077,0.0471141234102684
2,2025,0.96969696969697,0.0181935597511284
3,2015,0.938888888888889,0.0230881205362729
3,2016,0.937853107344633,0.0234591750999265
3,2017,0.913978494623656,0.028615016940177
3,2018,0.90625,0.0327568789307521
3,2019,0.943502824858757,0.0199885387851114
3,2020,0.890625,0.026823578836795
3,2021,0.973333333333333,0.0160498090917645
3,2022,0.932203389830508,0.0264579561603194
3,2023,0.783950617283951,0.055139889726412
3,2024,0.968992248062015,0.0186077270743869
3,2025,0.888888888888889,0.0403326761321347
4,2015,0.958333333333333,0.0241186640739067
4,2016,0.970238095238095,0.0175661719750238
4,2017,0.92090395480226,0.0283069725882738
4,2018,0.883040935672515,0.0386805747231665
4,2019,0.955974842767296,0.0201544908988323
4,2020,0.835978835978836,0.0405297288673159
4,2021,0.87719298245614,0.0360153079278193
4,2022,0.955128205128205,0.0205277409286188
4,2023,0.976744186046512,0.0171679822137076
4,2024,0.961240310077519,0.0253177234396194
4,2025,0.884353741496599,0.0451241468075565
5,2015,0.963636363636364,0.0186982402382691
5,2016,1,0
5,2017,0.928571428571429,0.0302875656272066
5,2018,0.957575757575758,0.0194471772096884
5,2019,0.931034482758621,0.0292849294140884
5,2020,0.886904761904762,0.0382488111221416
5,2021,0.932291666666667,0.0248226596988278
5,2022,0.838541666666667,0.03927822925528
5,2023,0.976744186046512,0.0171679822137076
5,2024,0.984496124031008,0.010831598930322
5,2025,0.96969696969697,0.0237889223814211
6,2015,0.957575757575758,0.0194471772096884
6,2016,0.96969696969697,0.0216642531207346
6,2017,0.95679012345679,0.0177250622521402
6,2018,0.911458333333333,0.0289839205977848
6,2019,0.919354838709677,0.0313113925969699
6,2020,0.828282828282828,0.0433285062414691
6,2021,0.968553459119497,0.0162233020194555
6,2022,0.928571428571429,0.0235920806812792
6,2023,0.793939393939394,0.0508004827273867
6,2024,0.816993464052288,0.052238539091995
6,2025,1,0
7,2015,0.974842767295597,0.0151567007235806
7,2016,0.890909090909091,0.0346588800874283
7,2017,0.944444444444444,0.024530690871374
7,2018,0.944444444444444,0.0260653136290122
7,2019,0.939393939393939,0.0246044793352796
7,2020,0.879781420765027,0.0348757765017009
7,2021,0.975757575757576,0.0190585477415285
7,2022,0.918032786885246,0.0277202366189389
7,2023,1,0
7,2024,0.976744186046512,0.0171679822137076
7,2025,1,0
8,2015,0.842105263157895,0.0442339914654707
8,2016,0.981132075471698,0.0188679245283019
8,2017,0.950617283950617,0.0270267549933959
8,2018,0.987421383647799,0.0125786163522013
8,2019,0.915151515151515,0.0337440264413941
8,2020,0.896551724137931,0.0319714706877769
8,2021,0.940860215053763,0.0236563145968673
8,2022,0.94047619047619,0.0226446653745143
8,2023,0.968992248062015,0.0149399087078982
8,2024,0.901960784313726,0.0352941176470588
8,2025,1,0
9,2015,0.937853107344633,0.0234591750999265
9,2016,0.890909090909091,0.0396906721300778
9,2017,0.946236559139785,0.0205591220838263
9,2018,0.854838709677419,0.0380351856531089
9,2019,0.853107344632768,0.0413041399709998
9,2020,0.886904761904762,0.0372937190436566
9,2021,0.896174863387978,0.0326347411059543
9,2022,0.825870646766169,0.0427450288582927
9,2023,0.898550724637681,0.0399537644988122
9,2024,0.963768115942029,0.0186162790995147
9,2025,0.937984496124031,0.0200154178098575
10,2015,0.862433862433862,0.0396512364443855
10,2016,0.836065573770492,0.0378721772617413
10,2017,0.890710382513661,0.0379509409737086
10,2018,0.892857142857143,0.034090050150658
10,2019,1,0
10,2020,0.753846153846154,0.0458053079101278
10,2021,0.860696517412935,0.0376112542882486
10,2022,0.740196078431373,0.0512480031828171
10,2023,0.726666666666667,0.0592393201527009
10,2024,0.762820512820513,0.0551796268882298
11,2015,0.833333333333333,0.040736367774406
11,2016,0.80952380952381,0.0448318510329177
11,2017,0.688888888888889,0.0506496816278846
11,2018,0.845238095238095,0.0441075408491663
11,2019,0.68361581920904,0.0549064987620724
11,2020,0.709677419354839,0.0516965653684442
11,2021,0.839080459770115,0.0427914364292996
11,2022,0.81547619047619,0.0424022880290308
11,2023,0.653846153846154,0.0647030696193112
11,2024,0.710691823899371,0.0575235701528501
12,2015,0.751322751322751,0.0505802109369128
12,2016,0.827380952380952,0.0441294431301731
12,2017,0.689265536723164,0.0539764981577868
12,2018,0.805555555555556,0.0421426050809014
12,2019,0.713450292397661,0.0530591561615697
12,2020,0.801169590643275,0.0440402852233825
12,2021,0.655367231638418,0.0569628190751801
12,2022,0.779661016949153,0.0453071926238696
12,2023,0.709876543209877,0.0578131754011555
12,2024,0.801282051282051,0.0527916935833404
