"id","left","top","right","bottom","mortality","geometry"
733,73.875,15.085,73.92,15.04,1.8171281333046,list(c(73.875, 73.92, 73.92, 73.875, 73.875, 15.085, 15.085, 15.04, 15.04, 15.085))
776,73.92,15.265,73.965,15.22,8.45238095238095,list(c(73.92, 73.965, 73.965, 73.92, 73.92, 15.265, 15.265, 15.22, 15.22, 15.265))
777,73.92,15.22,73.965,15.175,12.1693207377418,list(c(73.92, 73.965, 73.965, 73.92, 73.92, 15.22, 15.22, 15.175, 15.175, 15.22))
778,73.92,15.175,73.965,15.13,17.6172466422466,list(c(73.92, 73.965, 73.965, 73.92, 73.92, 15.175, 15.175, 15.13, 15.13, 15.175))
779,73.92,15.13,73.965,15.085,3.22567873303167,list(c(73.92, 73.965, 73.965, 73.92, 73.92, 15.13, 15.13, 15.085, 15.085, 15.13))
780,73.92,15.085,73.965,15.04,2.85643196672608,list(c(73.92, 73.965, 73.965, 73.92, 73.92, 15.085, 15.085, 15.04, 15.04, 15.085))
781,73.92,15.04,73.965,14.995,0.647058823529412,list(c(73.92, 73.965, 73.965, 73.92, 73.92, 15.04, 15.04, 14.995, 14.995, 15.04))
827,73.965,15.085,74.01,15.04,11.1581124237924,list(c(73.965, 74.01, 74.01, 73.965, 73.965, 15.085, 15.085, 15.04, 15.04, 15.085))
828,73.965,15.04,74.01,14.995,2.97996536382476,list(c(73.965, 74.01, 74.01, 73.965, 73.965, 15.04, 15.04, 14.995, 14.995, 15.04))
829,73.965,14.995,74.01,14.95,0.789126016260163,list(c(73.965, 74.01, 74.01, 73.965, 73.965, 14.995, 14.995, 14.95, 14.95, 14.995))
875,74.01,15.04,74.055,14.995,4.03623737373737,list(c(74.01, 74.055, 74.055, 74.01, 74.01, 15.04, 15.04, 14.995, 14.995, 15.04))
876,74.01,14.995,74.055,14.95,11.5686953967442,list(c(74.01, 74.055, 74.055, 74.01, 74.01, 14.995, 14.995, 14.95, 14.95, 14.995))
877,74.01,14.95,74.055,14.905,1.91361788617886,list(c(74.01, 74.055, 74.055, 74.01, 74.01, 14.95, 14.95, 14.905, 14.905, 14.95))
878,74.01,14.905,74.055,14.86,0.0625,list(c(74.01, 74.055, 74.055, 74.01, 74.01, 14.905, 14.905, 14.86, 14.86, 14.905))
924,74.055,14.95,74.1,14.905,1.62626262626263,list(c(74.055, 74.1, 74.1, 74.055, 74.055, 14.95, 14.95, 14.905, 14.905, 14.95))
925,74.055,14.905,74.1,14.86,0.153409090909091,list(c(74.055, 74.1, 74.1, 74.055, 74.055, 14.905, 14.905, 14.86, 14.86, 14.905))
972,74.1,14.905,74.145,14.86,0.0909090909090909,list(c(74.1, 74.145, 74.145, 74.1, 74.1, 14.905, 14.905, 14.86, 14.86, 14.905))
