"id","distance","prob"
196,9949.34761,0.327586206896552
197,6565.72967,0.349726775956284
198,6052.936448,0.348958333333333
243,5334.900175,0.453551912568306
244,3111.92386,0.430769230769231
245,1889.789267,0.467661691542289
246,6691.328141,0.39906103286385
290,1135.273283,0.608187134502924
291,2928.290285,0.619791666666667
292,3500.087263,0.642512077294686
293,7296.262107,0.511111111111111
294,12005.31555,0.43859649122807
338,1689.457818,0.632768361581921
339,5651.971961,0.666666666666667
340,8904.031891,0.616033755274262
341,11575.75182,0.581196581196581
342,12364.88542,0.576923076923077
385,0,0.607142857142857
386,2385.284813,0.719298245614035
387,4525.48285,0.761316872427984
388,7019.527952,0.694444444444444
389,7387.665819,0.662878787878788
390,9416.862983,0.614197530864197
391,13144.42888,0.64327485380117
433,0,0.642857142857143
434,879.4285448,0.813492063492063
435,3031.491383,0.838709677419355
436,2502.762679,0.775956284153005
437,6220.113893,0.772357723577236
438,9198.592655,0.758807588075881
439,10905.78685,0.715447154471545
440,12093.62406,0.674666666666667
441,13820.91416,0.656
442,15508.38527,0.631720430107527
482,0,0.591194968553459
483,0,1
484,2548.94163,1
485,4607.855799,0.950904392764858
486,6361.57434,0.891472868217054
487,7476.558406,0.816537467700258
488,9483.958605,0.75968992248062
489,10653.56249,0.708010335917313
490,12289.2267,0.643410852713178
491,10140.55385,0.640826873385013
492,10038.1193,0.604651162790698
531,0,0.997416020671835
532,0,0.997416020671835
533,1602.124269,0.997416020671835
534,2684.188912,1
535,4932.712212,0.948320413436692
536,6034.660163,0.834625322997416
537,7324.675696,0.767441860465116
538,5462.259597,0.702842377260982
539,5269.657158,0.679586563307494
540,8616.9018,0.643410852713178
541,13021.22082,0.594315245478036
581,0,1
582,138.7352358,0.997416020671835
583,2631.1578,0.961240310077519
584,2505.125769,0.850129198966408
585,2484.449337,0.803617571059432
586,1946.55861,0.728682170542636
587,6933.703666,0.661498708010336
588,11931.57167,0.640826873385013
589,16903.22791,0.633074935400517
630,0,1
631,1365.86612,1
632,22.13678531,1
633,3265.129248,0.816537467700258
634,7333.529785,0.751937984496124
635,12108.38095,0.697674418604651
636,13678.75081,0.689922480620155
637,13161.70187,0.666666666666667
678,1202.659296,1
679,0,1
680,3143.622183,0.937984496124031
681,6003.425361,0.904392764857881
682,7515.492727,0.865633074935401
683,8856.919856,0.834625322997416
684,8727.396539,0.816537467700258
685,7060.593382,0.788113695090439
686,7010.022566,0.715762273901809
726,0,1
727,0,1
728,1240.69826,1
729,2742.138488,1
730,4023.666437,0.994832041343669
731,4740.76526,0.976744186046512
732,2206.954896,0.948320413436692
733,2871.877358,0.875968992248062
734,7560.884359,0.780361757105943
735,11385.99235,0.69250645994832
736,14469.84757,0.583979328165375
776,0,0.997416020671835
777,0,1
778,409.7129812,0.997416020671835
779,0,1
780,1373.474141,1
781,4843.862991,0.919896640826873
782,7399.102406,0.803617571059432
783,11083.76996,0.671834625322997
784,11838.98034,0.57909604519774
785,12639.37652,0.445482866043614
786,12699.94768,0.391752577319588
827,0,0.997416020671835
828,339.0339222,1
829,4732.183096,0.948320413436692
830,6100.126732,0.801033591731266
831,7341.372474,0.594594594594595
832,7779.90366,0.527210884353742
833,7877.926963,0.385964912280702
834,10650.27847,0.322097378277154
875,0,1
876,1126.649122,0.997416020671835
877,1207.793503,1
878,4000.138495,0.682847896440129
879,3343.723689,0.562724014336918
880,3580.385394,0.459770114942529
881,7959.737793,0.361111111111111
924,0,1
925,1932.163559,0.744444444444444
926,1713.764827,0.547325102880658
927,1006.983398,0.426666666666667
928,3603.42915,0.319634703196347
972,0,0.703196347031963
973,231.6642821,0.611111111111111
974,0,0.470238095238095
975,697.5383936,0.333333333333333
1022,546.8261321,0.371794871794872
1069,0,0.277777777777778
1116,0,0.333333333333333
