Start,Waypoint_number,Distance_m,Angle,N_min,N_max,N_best,Start.location,End.location,Comments,X_index,rep,Test,ele,xcoord,ycoord,Transect.ID
19-04-2025,353,60,40,1,2,1,Morjim,Miramar,,79,1,30,0.819221,73.72872,15.557544,1
19-04-2025,358,250,-120,4,6,5,,,,80,1,150,-0.211784,73.740419,15.539023,1
20-04-2025,388,50,-30,1,2,2,Miramar,Betul,,81,1,30,-0.445953,73.800961,15.384964,2
20-04-2025,391,450,-120,1,2,2,,,,82,1,200,0.182854,73.799876,15.372296,2
20-04-2025,392,400,-70,2,2,2,,,,83,1,200,0.647972,73.799413,15.367415,2
20-04-2025,396,200,60,2,3,3,,,,84,1,80,-0.825577,73.828919,15.364908,2
20-04-2025,402,250,-20,5,7,6,,,,85,1,160,-1.625671,73.867143,15.365006,2
20-04-2025,407,200,-20,9,12,9,,,Moving with a trawler,86,1,100,1.696236,73.882498,15.344458,2
20-04-2025,408,350,-90,1,1,1,,,,87,1,180,1.090088,73.88184,15.340028,2
20-04-2025,410,450,-10,2,2,2,,,,88,1,200,-0.035103,73.878365,15.331184,2
20-04-2025,412,120,20,1,2,1,,,,89,1,80,-0.748169,73.876058,15.324819,2
20-04-2025,413,200,-90,1,1,1,,,Following a ps boat?,90,1,120,0.338341,73.87501,15.322667,2
20-04-2025,414,180,0,1,1,1,,,,91,1,80,-0.928825,73.876895,15.320145,2
20-04-2025,415,200,30,1,1,1,,,,92,1,90,0.24617,73.877942,15.319979,2
20-04-2025,416,420,-40,3,6,5,,,,93,1,220,2.638054,73.879291,15.319763,2
20-04-2025,417,350,20,1,1,1,,,Many dolphins in this area,94,1,180,0.730133,73.881121,15.319655,2
20-04-2025,418,180,90,10,13,10,,,,95,1,90,-0.211517,73.882949,15.319539,2
20-04-2025,419,120,-40,3,5,3,,,,96,1,60,0.45002,73.884636,15.319522,2
20-04-2025,422,200,30,2,3,3,,,Fish shoals around,97,1,110,2.281235,73.890731,15.311598,2
20-04-2025,423,30,-90,1,2,2,,,,98,1,30,2.178696,73.889701,15.310158,2
20-04-2025,428,350,0,1,2,2,,,Next to a large purse seine,99,1,160,1.025688,73.890578,15.283353,2
20-04-2025,429,160,-30,1,1,1,,,Near 2 purse seines,100,1,80,2.789368,73.888956,15.28157,2
20-04-2025,430,350,-90,4,5,5,,,,101,1,200,4.310204,73.887646,15.280331,2
20-04-2025,432,500,90,2,3,3,,,,102,1,300,1.891891,73.892215,15.275884,2
20-04-2025,433,150,30,2,2,2,,,,103,1,80,1.166862,73.896093,15.274453,2
20-04-2025,434,200,60,1,1,1,,,,104,1,100,1.978416,73.898572,15.273515,2
20-04-2025,435,250,30,2,3,2,,,,105,1,120,2.076134,73.901051,15.272641,2
20-04-2025,436,20,0,3,4,3,,,,106,1,30,2.636635,73.903006,15.271954,2
20-04-2025,439,100,-40,1,1,1,,,,107,1,70,0.54821,73.909273,15.263499,2
20-04-2025,442,200,0,1,1,1,,,,108,1,110,2.216019,73.903502,15.251537,2
20-04-2025,449,200,0,1,1,1,,,,109,1,90,2.025879,73.912074,15.205883,2
20-04-2025,450,150,-60,3,4,3,,,,110,1,90,1.990723,73.911086,15.204845,2
20-04-2025,451,200,0,2,2,2,,,,111,1,100,3.464043,73.913196,15.19982,2
20-04-2025,455,250,90,3,3,3,,,,112,1,140,3.60038,73.93042,15.158239,2
21-04-2025,461,180,-30,3,5,4,Betul,Rajbagh,,113,1,100,-0.134895,73.929581,15.134373,3
21-04-2025,462,400,-90,1,1,1,,,,114,1,200,0.446648,73.928229,15.13435,3
21-04-2025,463,300,-90,2,3,2,,,,115,1,150,0.062355,73.927637,15.134034,3
21-04-2025,465,100,-30,2,3,2,,,,116,1,80,1.04657,73.923174,15.123711,3
21-04-2025,469,120,20,2,3,2,,,,117,1,60,-2.076286,73.914893,15.107722,3
21-04-2025,472,500,10,2,4,3,,,,118,1,250,-1.397949,73.910979,15.092286,3
21-04-2025,473,60,-60,2,3,2,,,,119,1,50,-0.599144,73.907074,15.090589,3
21-04-2025,474,100,0,2,4,3,,,,120,1,90,-0.093491,73.90492,15.089609,3
21-04-2025,475,250,60,1,2,2,,,,122,1,150,-0.2892,73.903115,15.086706,3
21-04-2025,476,250,-80,3,4,3,,,,121,1,150,-0.596085,73.905453,15.08578,3
21-04-2025,476,80,0,1,2,1,,,,123,1,40,-0.596085,73.905453,15.08578,3
21-04-2025,477,400,30,1,1,1,,,,124,1,220,-1.093735,73.908005,15.084695,3
21-04-2025,478,120,60,3,5,4,,,,125,1,80,-0.882378,73.90962,15.083838,3
21-04-2025,479,600,90,1,2,2,,,,126,1,300,-0.751656,73.911928,15.08228,3
21-04-2025,485,300,-50,1,1,1,,,Behind trawler,127,1,150,1.394119,73.935968,15.057631,3
21-04-2025,486,180,0,1,1,1,,,Behind trawler,128,1,90,2.198807,73.93725,15.057396,3
21-04-2025,493,350,-50,1,1,1,,,,129,1,220,1.468567,73.968607,15.041375,3
21-04-2025,494,180,10,1,3,2,,,,130,1,100,2.765984,73.974931,15.040087,3
21-04-2025,496,450,-20,1,1,1,,,,131,1,250,2.717308,73.979256,15.032857,3
21-04-2025,503,100,0,1,1,1,,,,132,1,60,2.320595,74.006376,15.010716,3
21-04-2025,509,220,0,1,1,1,,,,133,1,120,3.76944,74.02927,14.983316,3
21-04-2025,511,160,-10,2,5,3,,,,134,1,80,6.149445,74.023291,14.970713,3
21-04-2025,513,140,-45,2,2,2,,,,135,1,80,4.18119,74.041888,14.961712,3
22-04-2025,531,500,-10,2,3,2,Rajbagh,Betul,,137,2,300,1.453552,74.013049,14.992375,3
22-04-2025,532,150,-45,1,1,1,,,,138,2,100,2.149849,74.013666,14.994108,3
22-04-2025,533,150,-90,1,1,1,,,,139,2,100,2.504051,74.014042,14.995107,3
