id,left,top,right,bottom,n,distance,feature_x,feature_y,nearest_x,nearest_y
631,73.785,15.445,73.83,15.4,1,1365.86612,73.8075,15.4225,73.80097198,15.41208363
632,73.785,15.4,73.83,15.355,1,22.13678531,73.8075,15.3775,73.80764008,15.37764168
633,73.785,15.355,73.83,15.31,1,3265.129248,73.8075,15.3325,73.78320313,15.34902954
634,73.785,15.31,73.83,15.265,1,7333.529785,73.8075,15.2875,73.78291321,15.34875202
635,73.785,15.265,73.83,15.22,1,12108.38095,73.8075,15.2425,73.7820816,15.34847069
636,73.785,15.22,73.83,15.175,1,13678.75081,73.8075,15.1975,73.92597198,15.23097324
637,73.785,15.175,73.83,15.13,1,13161.70187,73.8075,15.1525,73.9173584,15.1081934
678,73.83,15.445,73.875,15.4,1,1202.659296,73.8525,15.4225,73.86152649,15.42847347
679,73.83,15.4,73.875,15.355,1,0,73.8525,15.3775,73.8525,15.3775
680,73.83,15.355,73.875,15.31,1,3143.622183,73.8525,15.3325,73.8501358,15.36069393
681,73.83,15.31,73.875,15.265,1,6003.425361,73.8525,15.2875,73.90402985,15.30375004
682,73.83,15.265,73.875,15.22,1,7515.492727,73.8525,15.2425,73.91652679,15.26431179
683,73.83,15.22,73.875,15.175,1,8856.919856,73.8525,15.1975,73.93096924,15.21152687
684,73.83,15.175,73.875,15.13,1,8727.396539,73.8525,15.1525,73.9173584,15.1081934
685,73.83,15.13,73.875,15.085,1,7060.593382,73.8525,15.1075,73.91208649,15.08541965
686,73.83,15.085,73.875,15.04,1,7010.022566,73.8525,15.0625,73.9118042,15.08402824
726,73.875,15.4,73.92,15.355,1,0,73.8975,15.3775,73.8975,15.3775
727,73.875,15.355,73.92,15.31,1,0,73.8975,15.3325,73.8975,15.3325
728,73.875,15.31,73.92,15.265,1,1240.69826,73.8975,15.2875,73.90791321,15.29153156
729,73.875,15.265,73.92,15.22,1,2742.138488,73.8975,15.2425,73.9209671,15.25014019
730,73.875,15.22,73.92,15.175,1,4023.666437,73.8975,15.1975,73.93264008,15.20625114
731,73.875,15.175,73.92,15.13,1,4740.76526,73.8975,15.1525,73.93540955,15.13292027
732,73.875,15.13,73.92,15.085,1,2206.954896,73.8975,15.1075,73.9173584,15.10791779
733,73.875,15.085,73.92,15.04,1,2871.877358,73.8975,15.0625,73.9118042,15.08402824
734,73.875,15.04,73.92,14.995,1,7560.884359,73.8975,15.0175,73.9118042,15.08402824
735,73.875,14.995,73.92,14.95,1,11385.99235,73.8975,14.9725,73.98542023,15.02514172
736,73.875,14.95,73.92,14.905,1,14469.84757,73.8975,14.9275,73.98902893,15.02014065
776,73.92,15.265,73.965,15.22,1,0,73.9425,15.2425,73.9425,15.2425
777,73.92,15.22,73.965,15.175,1,0,73.9425,15.1975,73.9425,15.1975
778,73.92,15.175,73.965,15.13,1,409.7129812,73.9425,15.1525,73.94596863,15.15375137
779,73.92,15.13,73.965,15.085,1,0,73.9425,15.1075,73.9425,15.1075
780,73.92,15.085,73.965,15.04,1,1373.474141,73.9425,15.0625,73.94264221,15.07486057
781,73.92,15.04,73.965,14.995,1,4843.862991,73.9425,15.0175,73.98542023,15.02514172
782,73.92,14.995,73.965,14.95,1,7399.102406,73.9425,14.9725,73.98902893,15.02014065
783,73.92,14.95,73.965,14.905,1,11083.76996,73.9425,14.9275,74.04207611,14.92152977
784,73.92,14.905,73.965,14.86,1,11838.98034,73.9425,14.8825,74.04207611,14.92041969
785,73.92,14.86,73.965,14.815,1,12639.37652,73.9425,14.8375,74.05430603,14.81653023
786,73.92,14.815,73.965,14.77,1,12699.94768,73.9425,14.7925,74.05430603,14.81624985
827,73.965,15.085,74.01,15.04,1,0,73.9875,15.0625,73.9875,15.0625
